LOR_KENNUNG,Anzahl_DS,Anzahl_Delikt_FD,Anzahl_Delikt_KB,PLR,PGR,BEZIRK
04400832,20,18,2.0,Breite Straße,Wilmersdorf Süd,Charlottenburg-Wilmersdorf
11401135,19,19,,Dolgenseestraße,Lichtenberg Mitte,Lichtenberg
10200629,19,18,1.0,Teterower Ring,Hellersdorf,Marzahn-Hellersdorf
09300923,19,19,,Kölner Viertel,Treptow-Köpenick 3,Treptow-Köpenick
12500825,19,19,,Borsigwalde,Wittenau/Borsigwalde,Reinickendorf
10300732,19,17,2.0,Buckower Ring,Biesdorf,Marzahn-Hellersdorf
08200622,19,18,1.0,Jahnstraße,Britz/Bukow,Neukölln
05100312,19,14,5.0,Eckschanze,Spandau Mitte/Nord,Spandau
03200309,18,18,,Eddastraße,Nördliches Pankow,Pankow
06100210,18,18,,Bismarckstraße,Steglitz,Steglitz-Zehlendorf
09401433,18,18,,Allende II,Treptow-Köpenick 4,Treptow-Köpenick
05400943,18,18,,Jägerallee,Gatow/Gladow,Spandau
12601133,18,17,1.0,Treuenbrietzener Straße,Märkisches Viertel,Reinickendorf
09100305,18,17,1.0,Baumschulenweg Ost,Treptow-Köpenick 1,Treptow-Köpenick
11300619,18,12,6.0,Rudolf-Seiffert-Park,Lichtenberg Nord,Lichtenberg
11100204,18,11,7.0,Falkenberg West,Hohenschönhausen Nord,Lichtenberg
11300616,18,15,3.0,Hohenschönhausener Straße,Lichtenberg Nord,Lichtenberg
08200833,18,18,,Buckow Ost,Britz/Bukow,Neukölln
06300528,17,17,,Teltower Damm,Zehlendorf Süd/Lichetrfelde West,Steglitz-Zehlendorf
03200308,17,17,,Nisbléstraße,Nördliches Pankow,Pankow
07400826,17,17,,Marienhöhe,Tempelhof,Tempelhof-Schöneberg
06400736,17,17,,Düppel,Zehlendorf Nord/Wannsee,Steglitz-Zehlendorf
04400834,17,17,,Binger Straße,Wilmersdorf Süd,Charlottenburg-Wilmersdorf
05100105,17,14,3.0,Amorbacher Weg,Spandau Mitte/Nord,Spandau
11401033,17,16,1.0,Gensinger Straße,Lichtenberg Mitte,Lichtenberg
08300935,17,14,3.0,Gropiusstadt Süd-West,Gropiusstadt,Neukölln
06100208,17,16,1.0,Bergstraße,Steglitz,Steglitz-Zehlendorf
09401431,17,15,2.0,Allende I,Treptow-Köpenick 4,Treptow-Köpenick
04400726,17,16,1.0,Bismarckallee,Wilmersdorf Süd,Charlottenburg-Wilmersdorf
03200205,16,16,,Uhlandstraße,Nördliches Pankow,Pankow
05100104,16,14,2.0,Maselake,Spandau Mitte/Nord,Spandau
06400841,16,16,,Zehlendorf Eiche,Zehlendorf Nord/Wannsee,Steglitz-Zehlendorf
10100208,16,10,6.0,Bürgerpark,Marzahn,Marzahn-Hellersdorf
09100203,16,13,3.0,Plänterwald Ost,Treptow-Köpenick 1,Treptow-Köpenick
06100204,16,15,1.0,Munsterdamm,Steglitz,Steglitz-Zehlendorf
03400619,16,16,,Wilhelmsruh,Südliches Pankow,Pankow
01200518,16,16,,Beusselkiez,Moabit,Mitte
04200207,16,16,,Eichkamp,Charlottenburg West,Charlottenburg-Wilmersdorf
10100209,16,4,12.0,Lea-Grundig-Straße,Marzahn,Marzahn-Hellersdorf
