BSN;Bezirk;Schulart;Schule;Straße;PLZ;Ort;Adresse;Aktueller Status;Standort beauftragt? ;"Begehung durgeführt am:
[Datum]";"Tiefbau abgeschlossen am: 
[Datum]";"Aktive Technik 
verbaut 
am: 
[Datum]";"Anschluss nutzbar? 
[Ja / Nein]"
10G09;Marzahn-Hellersdorf;G;Grundschule am Bürgerpark;Jan-Petersen-Str. 18 B;12679;Berlin;Jan-Petersen-Str. 18 B 12679 Berlin;Begehung durchgeführt;Ja;14.06.22;;;Nein
10G10;Marzahn-Hellersdorf;G;Peter-Pan-Grundschule;Stolzenhagener Str. 9;12679;Berlin;Stolzenhagener Str. 9 12679 Berlin;Begehung durchgeführt;Ja;13.05.22;;;Nein
10G11;Marzahn-Hellersdorf;G;Grundschule an der Mühle;Kienbergstr. 59;12685;Berlin;Kienbergstr. 59 12685 Berlin;Anschluss nutzbar;Ja;14.06.22;13.03.23;16.08.23;Ja
11G01;Lichtenberg;G;Sonnenuhr-Schule (Grundschule);Franz-Jacob-Str. 33;10369;Berlin;Franz-Jacob-Str. 33 10369 Berlin;Anschluss nutzbar;Ja;26.08.22;24.11.23;16.02.24;Ja
11G02;Lichtenberg;G;Schule am Roederplatz (Grundschule);Bernhard-Bästlein-Str. 22;10367;Berlin;Bernhard-Bästlein-Str. 22 10367 Berlin;Begehung durchgeführt;Ja;08.08.22;;;Nein
11G03;Lichtenberg;G;Schule im Gutspark (Grundschule);Josef-Orlopp-Str. 20;10367;Berlin;Josef-Orlopp-Str. 20 10367 Berlin;Anschluss nutzbar;Ja;02.09.22;20.02.23;13.06.23;Ja
11G05;Lichtenberg;G;Schule auf dem lichten Berg (Grundschule);Atzpodienstr. 19;10365;Berlin;Atzpodienstr. 19 10365 Berlin;Begehung durchgeführt;Ja;11.05.22;;;Nein
11G05b;Lichtenberg;G;Schule auf dem lichten Berg (Grundschule);Siegfriedstraße 208-210;10365;Berlin;Siegfriedstraße 208-210 10365 Berlin;Begehung durchgeführt;Ja;18.08.22;;;Nein
11G06;Lichtenberg;G;Adam-Ries-Schule (Grundschule);Alt-Friedrichsfelde 66;10315;Berlin;Alt-Friedrichsfelde 66 10315 Berlin;Begehung durchgeführt;Ja;08.09.22;;;Nein
11G07;Lichtenberg;G;Hermann-Gmeiner-Schule (Grundschule);Harnackstr. 17;10365;Berlin;Harnackstr. 17 10365 Berlin;Aktive Technik verbaut;Ja;06.09.22;05.03.24;25.04.24;Nein
